key,n_in,n_out,rbc_in,rbc_out,rbc_bg,tm_in,tm_out,tm_bg,dis_in,dis_out,dis_bg,gas_in,gas_out,gas_bg
2024-02-27_009JT,84384,15553,0.7111195273944145,0.3448032786174564,-0.007781479691473131,0.687393465802645,0.266067951026865,0.017737389989360305,0.24639423854986559,0.0771714497883202,-0.0044352342004679345,0.7568573197179871,0.6793583199140933,0.2395394979233231
2024-03-06_030DN,34259,1045,0.761025705345912,0.3776649135073616,-0.01708275379111776,0.7325460517251869,0.19850543560067596,0.06539858459779588,0.38015493178654275,0.09551618051243768,0.016052626310181516,0.2803646318539429,0.14696441779188066,0.012186465923593034
2024-03-11_039CP,55148,2116,0.9136112409249328,0.8507654881689863,0.009931915056036402,0.8577639551779759,0.7659062948906671,0.11042280850831483,0.5702272762640317,0.19391328065093597,0.0713604807837962,0.26064206951130653,0.4862273339953121,0.05080459663071451
2024-03-12_006KL,46475,2769,0.8717294286703535,0.7730784186908677,-0.0022633476098041505,0.8552306726639911,0.7167314578374041,0.016358858496312374,0.5860508176243757,0.1244808808699185,0.011092272065001707,0.4580102202376877,0.5397495336611792,0.11616428352172666
2024-03-12_044DY,66526,4905,0.9210084083681577,0.8328107352431536,0.03421327713554346,0.8777477642229001,0.7949515319716312,0.10196538355229726,0.5656159117941643,0.08461738585385284,0.0511161383745733,0.3479810365578704,0.5112279652741624,0.052314408922734194
2024-03-14_038RL,55870,2073,0.8914564358390743,0.9144185803525726,0.08366862123001045,0.8564041448829155,0.920753740356003,0.13183465428864363,0.6507401676055861,0.0695555738553219,0.11439449750493606,0.4124754576736155,0.4661010051554848,0.059408340478598776
2024-03-21_032WS,71116,858,0.8606437025181215,0.6789126562233819,0.010565870633398498,0.7706765002651847,0.5573031860303734,0.04083887064771269,0.4599742868938986,0.2108233632197516,0.05945776011463044,0.18751641516182768,0.19785447215656396,0.042403406026270955
2024-03-21_036RL,69429,1270,0.9027476575693736,0.7733282245717481,0.07775294117602789,0.8642986414952013,0.6648833690179368,0.08573335810162133,0.6862450557782183,0.04960939669793509,0.07877857313618052,0.37759239453779747,0.5318620295750862,0.06231470015705917
2024-03-28_010AJ,44653,2883,0.8303086037072567,0.614458520541243,-0.02061251482106528,0.8046462604928105,0.5979545833289327,-0.016412508172460982,0.5027970101752286,0.14099245948187814,0.014948356529060307,0.38018164889335004,0.6182356910359483,0.07106549058560746
2024-04-01_008CR,63317,5583,0.844237359454828,0.6802163908630675,-0.04486960415730559,0.8116970490157667,0.6449095985901244,0.033932555967270836,0.5816542844072864,0.2244047576537198,0.024689692597445714,0.33288193345379086,0.42522496229247003,0.07597139617499958
2024-04-03_040RP,64074,5982,0.8573860797251213,0.723636380221508,0.021465067062853085,0.8090660744062603,0.5666292586011177,0.07255899359238097,0.48928676023076667,0.06103839295285578,0.01931656612650203,0.4710063971783081,0.38542246709090006,0.07975882253464527
2024-04-09_019WR,70686,2055,0.8747421177855046,0.8009832093526682,0.02028886024309379,0.82847443066129,0.7702692809712066,0.053783478339643254,0.5960867150881679,0.0578513171538675,0.0587374040819891,0.4015494932169232,0.6079633394996046,0.06087150029958664
2024-04-22_025VP,44128,3731,0.9100175643805016,0.6600534120836689,0.029472038193084187,0.8971360933111261,0.6297412656081928,0.0734824900771023,0.6411888761652993,0.22029774860094115,0.05046111357274965,0.5806253948253093,0.695196801214907,0.12875598793195633
