a,b,n,gas,dis,tm,rbc,gas_hp,dis_hp,tm_hp,rbc_hp
2024-03-11_039CP,2024-11-13_025JC,70461,0.47075876174908576,0.8086799936501327,0.6832026263548221,0.4353055282346141,0.35460899752672537,0.7073713222956605,0.5148875407908271,0.17530776408610127
2024-03-11_039CP,2024-11-26_050EH,52970,0.26312496248083916,0.4439258990440767,0.37575621107333756,0.21472274861368257,0.17993399754753303,0.3832397002979646,0.29151199364601743,0.06576655101741304
2024-03-11_039CP,2024-12-05_043AS,52134,0.42285929301957337,0.6723640429935479,0.6181777927924066,0.08755709373288177,0.24630481573624535,0.5669640225081786,0.46084249801681026,0.013586442917911005
2024-03-12_006KL,2024-03-12_044DY,35258,-0.16974437726146754,-0.5055044654954569,-0.46438956090648786,0.004135259061865348,0.007409164633139274,-0.06588047365706644,-0.07720214716797505,0.0283903930592784
2024-03-12_006KL,2024-03-21_032WS,42809,-0.09810815629348388,-0.3036297845132244,-0.272417449015438,0.031533424168882704,-0.017178806103318674,-0.09418838479230647,-0.053454335549340974,0.03026355714456626
2024-03-12_006KL,2024-03-21_036RL,43674,-0.06871510010729102,-0.35576390574208344,-0.2853311769293935,-0.04032830008546728,0.0253962977559231,-0.04664010663234791,-0.03925771798952982,0.011998068254059692
2024-03-12_006KL,2024-04-03_040RP,34204,0.06546172366575792,-0.3362142398852895,-0.33305885156463194,-0.01286819021372668,0.0261096873431454,-0.1603733823317694,-0.17174291003319453,0.037490338223013585
2024-03-12_006KL,2024-04-09_019WR,37687,-0.14101063286849086,-0.34836743494706107,-0.30459463383221225,0.003589846794019574,0.03802058878100672,-0.006098348444515,0.03722394524393282,0.039675403599045436
2024-03-12_006KL,2024-05-06_043AS,35139,-0.0787661809533381,-0.3344697793222569,-0.308758057191475,0.09921789194865538,0.05759212024287631,0.014189963113028097,0.041942795421751264,0.0908392850332142
2024-03-12_006KL,2024-07-03_044DY,37269,-0.12560448574877217,-0.38542637062155877,-0.3355283666065859,-0.04900798031150804,0.07398371948633116,-0.07296305782639045,-0.0036906059709564693,0.06905305534019118
2024-03-12_006KL,2024-08-12_013VM,40455,-0.16204977442685733,-0.4852198296743115,-0.3565331846060526,-0.08205220093804519,-0.0026376951323322413,-0.0783797434182977,0.01286788176947417,0.00928414201104596
2024-03-12_006KL,2024-08-19_015HK,35090,-0.20031382069664697,-0.5121279158958775,-0.4377909605062012,0.009025867103709314,0.01095041391162539,-0.13044007096443566,-0.0836771178980855,0.07795937035887289
2024-03-12_006KL,2024-08-23_016PG,50236,0.04148494208618024,-0.1561835512017573,-0.0976125047844611,-0.07820563869921851,0.21237224892416368,0.14835277594717441,0.08610317787505233,-0.017217706485803386
2024-03-12_006KL,2024-09-03_041WF,37457,-0.12714523666226385,-0.4602082178368794,-0.39914753034279177,-0.051147218093730976,0.0670390764556062,-0.1125252794672948,-0.02958217585506362,0.07348403239692088
2024-03-12_006KL,2024-09-09_043AS,37303,-0.08981819231333175,-0.35123350208521165,-0.317053137822491,-0.056882593958724866,-0.013399027543152395,-0.07286054736358431,-0.030464586865218222,0.009485563963336633
2024-03-12_006KL,2024-09-24_046AA,41164,-0.09188331008412601,-0.3981566538424538,-0.3267332067880226,-0.048232716810199666,0.09286794058430418,-0.03714270633464102,-0.023336401085200385,0.019657033242625452
2024-03-12_006KL,2024-09-26_009ML,38783,-0.12124368165288443,-0.3111264153605001,-0.2208567717073219,-0.025022343467470298,0.011844472107489451,-0.04148491029893245,-0.016735364390818387,0.05523372419120375
2024-03-12_006KL,2024-09-27_036RL,44332,0.03264607537204516,-0.21237347334295706,-0.16216434251383735,0.08731649745434855,0.06782801045342779,-0.029457926261625068,0.004731085560389088,0.07627802033848481
2024-03-12_006KL,2024-10-29_049WG,39653,-0.0346167160144697,-0.28800796722632616,-0.22059094342593372,-0.1618862616802193,0.13559094108001316,-0.1012527882313548,-0.06731650117960852,-0.09578712171544465
2024-03-12_006KL,2024-11-13_025JC,35379,-0.0904503867187322,-0.43538002579577134,-0.29543817618812696,-0.0758768145411822,0.0388756633561372,-0.1188365003972767,-0.018515845607783823,0.09700682958900643
2024-03-12_006KL,2024-11-26_050EH,42465,-0.01844221142802635,-0.40022562542762175,-0.2642513945244884,-0.06500467486409435,0.06595890532680192,-0.05405336207990098,0.03938391825409622,0.00923551543361665
