cohort,seq,bin,n_subjects,bic,rss,gas_shift_ppm,gas_a,gas_a_te,gas_phi_deg,gas_ppm_from_gas,gas_fwhm_hz,gas_fwhm_ppm,gas_wL_hz,gas_wG_hz,gas_T2s_ms,rbc_a,rbc_a_te,rbc_phi_deg,rbc_ppm_from_gas,rbc_fwhm_hz,rbc_fwhm_ppm,rbc_wL_hz,rbc_wG_hz,rbc_T2s_ms,mem_a,mem_a_te,mem_phi_deg,mem_ppm_from_gas,mem_fwhm_hz,mem_fwhm_ppm,mem_wL_hz,mem_wG_hz,mem_T2s_ms,ratio_rbc_gas,ratio_mem_gas,ratio_rbc_mem,ratio_rbc_gas_te,ratio_mem_gas_te,ratio_rbc_mem_te,model,mem1_a,mem1_a_te,mem1_phi_deg,mem1_ppm_from_gas,mem1_fwhm_hz,mem1_fwhm_ppm,mem1_wL_hz,mem1_wG_hz,mem1_T2s_ms,mem2_a,mem2_a_te,mem2_phi_deg,mem2_ppm_from_gas,mem2_fwhm_hz,mem2_fwhm_ppm,mem2_wL_hz,mem2_wG_hz,mem2_T2s_ms
ALL,v2,5,4,-9031.484229880281,0.13591895561099882,-0.0633336391123927,0.06600534604423541,0.0708945116609715,3.000922551562892,0.0,33.44935170092283,1.899232701680377,33.44935170092283,0.0,9.516175052654573,0.20007051919146332,0.2992788031048657,-64.36308037447596,218.23202412661064,188.5076507129761,10.703343309973599,188.5076507129761,0.0,1.6885780761675977,0.6957573518073111,0.9785530301445383,-104.34548538380255,197.66179449278368,159.65769184877468,9.065261178907564,109.34590424762787,87.47533298768954,1.9937021667912433,3.031125979665044,10.540924235758554,0.2875578945328522,4.221466459012556,13.802944786814106,0.3058381036954741,M2,,,,,,,,,,,,,,,,,,
ALL,v2,5,4,-9050.770689289622,0.13069239799987056,-0.06562789854884682,0.06600967058704241,0.0709000906553024,3.133107445404416,0.0,33.45551908895229,1.8995828820107532,33.45551908895229,0.0,9.514420784727958,0.2253371362289731,0.35168633409304656,-68.2170299753852,218.28698730428545,208.3722133703922,11.831240416646152,208.3722133703922,0.0,1.527602366146482,0.9224576090854644,1.3186798096914305,nan,196.8852614423047,196.05000000000018,11.131593057277868,196.05000000000018,0.0,1.623615843834687,3.413698844805422,13.974582828270337,0.2442791235169875,4.960308665934619,18.59912727195943,0.2666957752051582,M3,0.24382757828839968,0.37353512323176047,-188.1118809568984,202.46284160110807,199.66957010219915,11.33710992246516,199.66957010219915,0.0,1.5941832599773043,0.6786300307970647,0.9451446864596701,-84.59239529718624,196.6403388030922,155.0646225387749,8.804469654078236,155.0646225387749,0.0,2.052756334567514
ALL,v2,6,4,-8999.031007121492,0.14030426903893856,0.04475757371614784,0.07810464083097547,0.08339001046763175,-0.7930916599062353,0.0,30.65092347658457,1.740339744815627,30.65092347658457,0.0,10.385001496837768,0.18907490293445062,0.2805086567767612,-72.14262338107604,218.42213585238446,184.6484465046949,10.484220174184156,184.6484465046949,0.0,1.7238698305306202,0.7265918615944468,1.0323605773187463,-110.66657391855809,197.58226377427448,164.415651791974,9.335415087964048,109.65355571669235,92.67240883861506,1.9360072031738833,2.4207896089506824,9.302800113591818,0.26022160848256837,3.3638160638634527,12.379907035980793,0.2717157773549433,M2,,,,,,,,,,,,,,,,,,
ALL,v2,6,4,-9014.94244995821,0.13535533625061535,0.044651650409444486,0.07823152520189869,0.08353463857598636,-0.7924882140973,0.0,30.702241724611547,1.7432535619717033,30.702241724611547,0.0,10.367643152539802,0.19432621603353778,0.29504375341001726,-79.89617247208513,218.86747245670486,195.47287896337198,11.098824495561267,195.47287896337198,0.0,1.6284094646369642,0.916982978409898,1.2971909318458428,nan,196.8426769241055,197.4000000000001,11.208245190036472,197.4000000000001,0.0,1.612512088063782,2.4839885906867307,11.721399730394655,0.21191910930616267,3.5319929365784466,15.528778886926856,0.22744820840690247,M3,0.183358054027069,0.26551231125144964,-202.5512673746428,203.19097552702402,173.30119103288803,9.839930297983576,173.30119103288803,0.0,1.836743788583564,0.733624924382829,1.031678620594393,-94.62579952534568,196.66708455698137,159.5971071601408,9.061821219206598,159.5971071601408,0.0,1.9944589964553456
ALL,v2,7,4,-9016.842769735633,0.13788018390124226,0.10129124837334805,0.09146507203732013,0.0978960651035435,-4.717731280918595,0.0,31.807200886853938,1.8059924333769213,31.807200886853938,0.0,10.00747872521375,0.22519648035503512,0.3464802766508998,-75.58518994744709,218.18037715518324,201.6833103584286,11.451448800585052,201.6833103584286,0.0,1.5782658744449158,0.7461099171364511,1.0606924272642448,-115.38008636789827,197.66102231443392,164.68055731519163,9.350456253396764,101.24612802905929,100.00975814115839,1.9328929375345687,2.4621035695806275,8.157320609030066,0.30182748571327517,3.5392666322638378,10.834883160445347,0.3266548037347145,M2,,,,,,,,,,,,,,,,,,
ALL,v2,7,4,-9024.573525150687,0.13408577246706332,0.09861916570989768,0.09167498832835881,0.0981374109800068,-4.566662978837046,0.0,31.886722239432892,1.8105076046917554,31.886722239432892,0.0,9.982521370294718,0.2830169641126705,0.46953040660368,-81.54224532640457,218.17094527457172,236.96589805295287,13.454771464309426,236.96589805295287,0.0,1.3432729721837888,1.4122250237039957,2.2430265135285428,nan,197.01869293266228,220.94999999999982,12.545399061492173,220.94999999999982,0.0,1.4406421642172027,3.0871775308982703,15.404692702503862,0.20040500583283197,4.784418112470236,22.85597807329059,0.20932895967647472,M3,0.45844591409677793,0.8489949204413876,-231.53305766639426,202.54987907782208,288.4500227710615,16.37800699234883,288.4500227710615,0.0,1.1035183257254533,0.9537791096072178,1.394031593087155,-91.58924265832232,196.72379423969704,177.65583986253796,10.0871844611002,177.65583986253796,0.0,1.791722053325601
ALL,v2,8,4,-8871.130523880342,0.15900897679455506,0.0201827546589041,0.08775316909121644,0.09432488234094678,-0.9339869482072705,0.0,33.80499757134071,1.91942604573543,33.80499757134071,0.0,9.416060022250921,0.24205623594002473,0.3766127086260833,-78.58533773375943,218.21284139270256,206.92355897816898,11.748986750872794,206.92355897816898,0.0,1.5382969815311038,0.7540182791724628,1.0605000540113882,-115.33867078191216,197.65874946109943,159.660126292907,9.065399405081507,104.40782542772766,91.77341288481634,1.993671767488335,2.7583760044997976,8.592490584456117,0.3210217081284583,3.9927185624762167,11.243057268580564,0.3551274770817117,M2,,,,,,,,,,,,,,,,,,
ALL,v2,8,4,-8880.1415696816,0.15443951653096513,0.017841943603099254,0.08771060934736043,0.09427698095425784,-0.803074705519768,0.0,33.79430068338319,1.918818683308894,33.79430068338319,0.0,9.419040481589402,0.27978828417608564,0.4559738854739602,-79.4849224104733,218.00785445332107,228.62249474620458,12.981038384363144,228.62249474620458,0.0,1.3922946932109577,1.1309916076175406,1.6620143785359285,nan,196.81712621318593,207.69999999999982,11.793072573305835,207.69999999999982,0.0,1.532546394722152,3.1899024104146827,12.894581579503948,0.24738316561469983,4.836534654150559,17.629058140314438,0.27435014483787346,M3,0.37789164317622614,0.6014257399491842,-197.2100692916095,201.62064966746897,217.52528689303583,12.350946051317989,217.52528689303583,0.0,1.463323601270844,0.7530999644413146,1.0605886385867442,-88.19914660515903,196.43681370162594,160.2696729750442,9.10000907411984,160.2696729750442,0.0,1.9860893222971456
ALL,v2,9,4,-8986.356769337446,0.14205507313808624,0.04726052197031628,0.0703499869110253,0.07532398368217526,-0.8048380734316478,0.0,31.978906746397904,1.8157417817778063,31.978906746397904,0.0,9.953745095418093,0.22378227825421548,0.34969353387412916,-82.93084684204652,218.20138508202638,208.95337620136846,11.864238468849383,208.95337620136846,0.0,1.5233536397949146,0.7201136302646928,1.0115884063677894,-115.02696092857639,197.6902521508447,159.09316975579944,9.033207977118003,105.02874604278918,90.59972164588676,2.000776568047399,3.1809853573568208,10.236158695742928,0.31075967576389246,4.642525750491885,13.429831468236227,0.3456875658843691,M2,,,,,,,,,,,,,,,,,,
ALL,v2,9,4,-8978.384432226489,0.14028477943660028,0.04299801856089064,0.07043793490494617,0.07542635808831695,-0.5633962504797395,0.0,32.02985018040606,1.8186343172346748,32.02985018040606,0.0,9.937913677114656,0.26160474394606464,0.42621063938310333,-81.07953404400827,217.84740731297182,228.48046252628737,12.97297388615789,228.48046252628737,0.0,1.3931601970000747,41.218309644601305,68.00658160594517,nan,197.50415644013344,234.4000000000001,13.309081421198321,234.4000000000001,0.0,1.3579773301356253,3.7139752080905297,585.1720340782867,0.006346809129285318,5.650685651348193,901.6288646246987,0.006267196928860835,M3,20.60880468406749,34.04902912364367,-207.7621928766158,197.58873323687848,235.02650236907058,13.344653823248375,235.02650236907058,0.0,1.354357414909478,20.609504960533812,33.957552482301494,-29.68170623680775,197.4220143114621,233.75129230185385,13.272248214828071,233.75129230185385,0.0,1.361745995280926
