cohort,seq,n_subjects,bic,rss,gas_a,gas_a_te,gas_phi_deg,gas_ppm_from_gas,gas_fwhm_hz,gas_fwhm_ppm,gas_wL_hz,gas_wG_hz,gas_T2s_ms,rbc_a,rbc_a_te,rbc_phi_deg,rbc_ppm_from_gas,rbc_fwhm_hz,rbc_fwhm_ppm,rbc_wL_hz,rbc_wG_hz,rbc_T2s_ms,mem_a,mem_a_te,mem_phi_deg,mem_ppm_from_gas,mem_fwhm_hz,mem_fwhm_ppm,mem_wL_hz,mem_wG_hz,mem_T2s_ms,ratio_rbc_gas,ratio_mem_gas,ratio_rbc_mem,ratio_rbc_gas_te,ratio_mem_gas_te,ratio_rbc_mem_te,model,mem1_a,mem1_a_te,mem1_phi_deg,mem1_ppm_from_gas,mem1_fwhm_hz,mem1_fwhm_ppm,mem1_wL_hz,mem1_wG_hz,mem1_T2s_ms,mem2_a,mem2_a_te,mem2_phi_deg,mem2_ppm_from_gas,mem2_fwhm_hz,mem2_fwhm_ppm,mem2_wL_hz,mem2_wG_hz,mem2_T2s_ms
HC_OLD,v2,1,-10644.813615411655,0.028035136877581808,0.017294851338345654,0.018221691668893265,-0.0003592826012953952,0.0,24.436784599899504,1.3875049313666707,24.436784599899504,0.0,13.025849815981918,0.23194538132946277,0.35086824934010563,231.37419159492416,217.5130913203645,193.75189312004653,11.00110802494033,193.75189312004653,0.0,1.6428736827183896,0.768054793277461,1.0613361095428044,-156.74662084294837,197.68791998995073,151.39510887816533,8.596117025728184,98.04149746181318,87.83776208582893,2.10251102920339,13.411238801180097,44.40944754318597,0.3019906696235826,19.2555255415216,58.24575065961848,0.33059107872175425,M2,,,,,,,,,,,,,,,,,,
HC_OLD,v2,1,-10965.127969361212,0.020079480674200414,0.017305618985603986,0.018235100902456933,0.8224514435993422,0.0,24.489785277507405,1.3905142757935574,24.489785277507405,0.0,12.997659333344247,0.26738403914093817,0.417537442855804,235.73408961966956,216.96938343153073,208.62790604997363,11.845758482735546,208.62790604997363,0.0,1.5257301490029067,1.0678409099062374,1.5107414525445177,nan,196.70924543374787,197.10000000000036,11.191211382756796,197.10000000000036,0.0,1.6149664443622023,15.45070646495608,61.704866540430686,0.25039688652162245,22.897457222161382,82.84798974383332,0.2763791528673238,M3,0.4297462844229945,0.6445397130826375,142.6414812805533,200.83765185297963,189.74145267883495,10.77339779299941,189.74145267883495,0.0,1.6775980245211706,0.6380946254832428,0.8662017394618802,-125.89196591273222,196.22219716327874,143.06683531363151,8.123243002825479,143.06683531363151,0.0,2.2249033850926447
LTX,v2,12,-10189.003654133863,0.043792239315686175,0.14967177646178606,0.15919487597509466,-0.03372891095064653,0.0,28.874613998503868,1.6394820337532452,28.874613998503868,0.0,11.023866369271078,0.16244500573634443,0.24241600757146292,212.11775428846175,218.09746051064627,187.38892308078627,10.639822673689645,187.38892308078627,0.0,1.6986590293096584,0.6004618553975486,0.8240343003875082,-178.84476074463805,197.39142158477262,148.1606308571629,8.412465441527681,89.07360338249956,91.59772157261611,2.1484107103368335,1.0853416026489109,4.011857609980713,0.2705334306852752,1.5227626271676473,5.176261455277146,0.29418193812741167,M2,,,,,,,,,,,,,,,,,,
LTX,v2,12,-10280.73304225538,0.039226823546770685,0.14978360536127325,0.1593221636623613,0.05292621851238691,0.0,28.899128590492868,1.6408739565381814,28.899128590492868,0.0,11.014515028958593,0.19060970667328722,0.2960139250292051,215.65073812295407,217.5965238047544,206.04881444284933,11.699319318094135,206.04881444284933,0.0,1.5448275547932289,0.9233557959854218,1.3154366560899837,nan,196.36005238451423,201.80000000000018,11.458074363471939,201.80000000000018,0.0,1.5773532516540654,1.2725672226512557,6.164598547072741,0.20643148340219722,1.8579582289412269,8.25645739332089,0.22503092312257716,M3,0.39866405091170276,0.5995360483537657,117.32755727124234,200.24789808140696,191.0032603111983,10.845042419778476,191.0032603111983,0.0,1.6665154598155756,0.5246917450737191,0.715900607736218,-141.08835170399885,195.7672791216955,145.45376373741908,8.258771265362856,145.45376373741908,0.0,2.1883922286013906
LTX,v3,30,-11060.920216954319,0.018658639734624283,0.04702886929200072,0.04987623048776773,0.0809526541896749,0.0,27.516435238387864,1.5623655162492942,27.516435238387864,0.0,11.567991399544379,0.19945112741199833,0.30451503387643364,201.21540966490693,218.26329177207288,198.07826324873903,11.246756541582858,198.07826324873903,0.0,1.6069904943788276,0.7481010549884076,1.037283616159657,155.51529237341342,197.55956950702955,152.98656490473252,8.686478876563676,99.72764048806549,88.20614309853572,2.0806394756428968,4.241035993734248,15.907272835829254,0.2666098732010062,6.105413959683997,20.797153393820597,0.29356969408602246,M2,,,,,,,,,,,,,,,,,,
LTX,v3,30,-12062.276340451797,0.00686315834455503,0.04734639277590734,0.05023529440525801,0.58942243593785,0.0,27.724426370210306,1.574175119100455,27.724426370210306,0.0,11.481207291120452,0.26125434297757727,0.42751125052965877,207.68980895222265,217.33050976636451,230.53414601749444,13.089580715500235,230.53414601749444,0.0,1.3807494103699296,1.225590441803123,1.818179106284453,nan,196.41967070999314,208.25,11.824301219985278,208.25,0.0,1.5284988532234847,5.517935531310825,25.885613875673677,0.21316610677316689,8.51017706954878,36.19326069071765,0.23513153850024218,M3,0.5872106793374081,0.9398602406794867,94.09314067943583,200.08298361434305,220.17097879196342,12.501166737743894,220.17097879196342,0.0,1.4457395244836395,0.6383797624657149,0.8783188656049662,-161.99840649676116,195.8134862950522,149.36052689487093,8.480594767734292,149.36052689487093,0.0,2.1311513343002373
RT,v2,2,-9450.844123094552,0.09017265459346421,0.10687835727013417,0.11518195587429186,-0.19432811147626405,0.0,35.02427486663447,1.9886558272972183,35.02427486663447,0.0,9.088264850474475,0.030165917047985876,0.03526018001791621,-359.99999999994634,212.00573023592247,73.04349170227088,4.147362535640558,73.04349170227088,0.0,4.3578131160711555,0.6830721169686856,1.0034882066593633,-113.44025568941211,196.9321032015001,180.0496341679239,10.223102563984085,180.0490771220239,0.03590642959470908,1.767900766112737,0.2822453284133266,6.391117288996372,0.04416212622154036,0.3061259009735755,8.712199745544847,0.0351376127630819,M2,,,,,,,,,,,,,,,,,,
RT,v2,2,-11031.510944793574,0.018816693800695793,0.10673578959084648,0.11503006266433312,1.1450186613403113,0.0,35.03139979889162,1.9890603763737154,35.03139979889162,0.0,9.086416415305845,0.14942360401590282,0.23309783711684523,-90.62112828235466,215.30373109579907,208.1526717212245,11.818774982840193,208.1526717212245,0.0,1.529213550571659,1.5926359577856428,2.920831595395701,nan,197.00449809326253,243.5999999999999,13.831451511108824,243.5999999999999,0.0,1.306690829982721,1.3999390887413943,14.92129269751732,0.09382156875552232,2.0264079816859986,25.391897802567666,0.07980529842401482,M3,0.5244547277870389,1.2387738092343823,-290.10722582857863,194.53038805221513,402.34285201157854,22.84476867175445,402.34285201157854,0.0,0.7911409003349968,1.068181229998604,1.6820577861613186,-120.52299544555942,197.16688267120963,212.5469792577488,12.068280941856349,212.5469792577488,0.0,1.4975977889471044
RT,v3,7,-10493.231468153686,0.0325174782934559,0.0560300692038061,0.05959142145322625,-0.255306791374186,0.0,28.8459588631037,1.637855013573312,28.8459588631037,0.0,11.034817309919088,0.22053509697904344,0.32944960252826855,179.1275582848732,217.87950861462076,187.88079007343316,10.667750565556272,187.88079007343316,0.0,1.6942119844151142,0.7510669389399819,1.0272017688720083,140.99782899015727,197.64649948281956,146.56245143932097,8.321721840854723,89.70091990958406,89.33524393865376,2.1718378961174496,3.9360132891655004,13.404711962928689,0.29362908356783163,5.528473637549593,17.237410080547697,0.32072530685966794,M2,,,,,,,,,,,,,,,,,,
RT,v3,7,-11701.79307462284,0.009765844939717917,0.05656760014858821,0.060202168443021446,0.09150574867920801,0.0,29.14968963228975,1.6551006515307367,29.14968963228975,0.0,10.919837919344152,0.29492578744850506,0.47384076662343083,184.92571161818063,216.98726453657696,221.9497941783571,12.60216673267049,221.9497941783571,0.0,1.4341526531355977,1.1412819021977758,1.6400956199197791,nan,196.4452214209127,195.80000000000018,11.117398217878126,195.80000000000018,0.0,1.6256888977721675,5.2136874584357935,20.17554040121781,0.2584162483261708,7.870825567884637,27.243131972431414,0.2889104518470743,M3,0.5003968916616306,0.785837587501066,75.30312237886614,201.06045810120784,211.27751875361108,11.996201789934146,211.27751875361108,0.0,1.5065961019496792,0.6408850105361452,0.854258032418713,175.10405055479768,196.07108685775268,134.52489354392478,7.638237036493731,134.52489354392478,0.0,2.3661783168767707
